u,v,key,osmid,oneway,name,highway,length,geometry,ref,lanes,bridge,tunnel,maxspeed,access
1584894919,1584894921,0,145024017,False,,residential,54.891,"LINESTRING (129.3988658 36.0790382, 129.3990746 36.0790396, 129.3994764 36.0790494)",,,,,,
1584894921,1584894915,0,145024005,False,장량로174번길,residential,55.49,"LINESTRING (129.3994764 36.0790494, 129.3994907 36.0785505)",,,,,,
1584894921,4719413685,0,145024005,False,장량로174번길,residential,185.107,"LINESTRING (129.3994764 36.0790494, 129.3994703 36.0807141)",,,,,,
1584894921,1584894922,0,145024017,False,,residential,55.932,"LINESTRING (129.3994764 36.0790494, 129.4000985 36.0790645)",,,,,,
1584894921,1584894919,0,145024017,False,,residential,54.891,"LINESTRING (129.3994764 36.0790494, 129.3990746 36.0790396, 129.3988658 36.0790382)",,,,,,
1584894922,1584894962,0,145023988,False,,residential,186.246,"LINESTRING (129.4000985 36.0790645, 129.4000453 36.0807389)",,,,,,
1584894922,1584894921,0,145024017,False,,residential,55.932,"LINESTRING (129.4000985 36.0790645, 129.3994764 36.0790494)",,,,,,
1584894922,1584894923,0,145024017,False,,residential,52.208,"LINESTRING (129.4000985 36.0790645, 129.4006791 36.0790806)",,,,,,
1584894923,1584894964,0,145023986,False,,residential,185.694,"LINESTRING (129.4006791 36.0790806, 129.4006482 36.0807504)",,,,,,
1584894923,1584894922,0,145024017,False,,residential,52.208,"LINESTRING (129.4006791 36.0790806, 129.4000985 36.0790645)",,,,,,
1584894923,1584894924,0,145024017,False,,residential,52.142,"LINESTRING (129.4006791 36.0790806, 129.4012584 36.0791067)",,,,,,
1584894924,1584894923,0,145024017,False,,residential,52.142,"LINESTRING (129.4012584 36.0791067, 129.4006791 36.0790806)",,,,,,
1584894924,1584894916,0,470626817,False,장량로190번길,residential,56.573,"LINESTRING (129.4012584 36.0791067, 129.4012791 36.0785982)",,,,,,
1584894924,1584894932,0,470626817,False,장량로190번길,residential,53.402,"LINESTRING (129.4012584 36.0791067, 129.401239 36.0795867)",,,,,,
1584894925,5313891397,0,145023973,False,양덕로6번길,residential,64.422,"LINESTRING (129.4020175 36.0791718, 129.4027332 36.0792046)",,,,,,
1584894925,1584894933,0,145023989,False,양덕로,tertiary,46.527,"LINESTRING (129.4020175 36.0791718, 129.4020048 36.0795901)",,,,,,
1584894925,1574729709,0,145023989,False,양덕로,tertiary,56.889,"LINESTRING (129.4020175 36.0791718, 129.4020227 36.0786602)",,,,,,
1584894929,1584894939,0,143914408,False,양덕남로,tertiary,191.502,"LINESTRING (129.4078465 36.079506, 129.4098733 36.0800378)",,,,,,
1584894929,1584894937,0,145024015,False,장량로242번길,residential,56.997,"LINESTRING (129.4078465 36.079506, 129.4076903 36.0800028)",,,,,,
1584894929,1574729725,0,143914408,False,양덕남로,tertiary,223.511,"LINESTRING (129.4078465 36.079506, 129.405624 36.0789235, 129.4054769 36.0788972)",,,,,,
1584894930,1584894931,0,145023985,False,,residential,68.553,"LINESTRING (129.3969283 36.0795706, 129.3976894 36.079612)",,,,,,
